the love 	positive
a moving essay about the specter of death , especially suicide . 	positive
the movie starts with a legend and ends with a story that is so far-fetched it would be impossible to believe if it were n't true . 	negative
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films . 	positive
not everyone will welcome or accept the trials of henry kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one . 	positive
intriguing species 	positive
with big heart 	positive
confusing on one level or another 	negative
femme fatale offers nothing more than a bait-and-switch that is beyond playing fair with the audience . 	negative
shocking in its eroticized gore 	negative
a heaven 	positive
splashy and entertainingly nasty 	positive
would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows . 	negative
of what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand 	negative
a bit exploitative but also nicely done , morally alert 	positive
wreck 	negative
's easy to like 	positive
loose 	negative
's just weirdness for the sake of weirdness 	negative
modestly 	positive
report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks 	positive
to a transparently hypocritical work that feels as though it 's trying to set the women 's liberation movement back 20 years 	negative
adorably ditsy but heartfelt performances , 	positive
terrifically entertaining specimen 	positive
undergraduate doubling subtexts and ridiculous stabs 	negative
the execution is pretty weary 	negative
dialogue and likeable characters 	positive
have stayed there 	positive
is all over the place , really 	negative
you wo n't find anything to get excited about on this dvd . 	negative
no art 	negative
are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material . 	negative
